"Number","Landmark","X","Y","Z"
"0","START","680","2.57","610"
"1","Batty House","1020","2.57","600"
"2","Lynch Station","930","2.57","500"
"3","Harris Hall","780","2.57","530"
"4","Tobler Museum","480","2.57","470"
"5","Snow Church","270","2.57","540"
"6","Golledge Hall","350","2.57","540"
"7","Harvey House","750","2.57","820"
"8","Sauer Center","280","2.57","400"
