Subject,gender,exp,TimeRaw,TimeTrimmed,IdleTime,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited_short10,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent,ObjectRevisits20,Revisiting20,ObjectEfficiency20
2_66,M,2,15554,15315,2742,6144.777030093115,395.0,0.6326028219021339,367379.9848000002,7,4,8,8,13,1,17.80058765915769,0.3493373259983459,1.0178715503263844,4,1,20,17,0.0642822348256978,0.0011391788450123,0.1671956169178751,0.0,5,24.893633692458373,0.0013019186800141342
2_68,F,2,14314,14086,6295,3875.004929450186,240.0,0.5228971849600582,283447.1956500001,4,3,5,11,11,7,19.837924180036914,0.2179976685131812,1.0072860800446637,3,0,1,1,0.061935405081937,0.0010322567513656,0.1238600704745345,0.0,6,46.11096123810876,0.001290320939207021
2_69,F,2,17460,16919,6061,5383.897488349867,265.0,0.557672236141326,181874.4057999999,6,3,9,11,21,5,91.69578580294343,0.3319361352771561,1.0155099599769817,2,0,8,8,0.0492208480145525,0.0011144342946691,0.1485083370006493,0.0,12,173.46232046811278,0.0016716514420036714
2_70,F,2,15571,15220,1108,7031.092868717456,371.0,0.6373407728954623,292506.5594,6,4,9,18,25,12,37.91865965834428,0.2686143155335508,1.012497679718071,5,1,8,2,0.0527656236273941,0.0008533524036775,0.1021500849382415,0.0,16,61.510512483574246,0.0012800286055162989
2_71,F,2,17079,17020,5968,5492.891230683876,361.0,0.596877317608638,529731.01865,5,4,5,9,10,4,27.940893066980024,0.2488195438593417,1.0079404873850573,2,1,4,4,0.0657213086586196,0.0009102674329448,0.1373819378510707,0.0,5,43.67126909518214,0.0009102674329448701
2_72,F,2,15897,15865,3368,6204.568304205563,349.0,0.6051541136648559,329607.52599999995,6,2,9,11,24,5,41.22117869524109,0.2833072440761012,1.0124195809137235,2,0,4,4,0.0562488770997076,0.0009670294057256,0.1339160200607108,0.0,15,79.60705956508036,0.0014505441085884484
2_73,M,2,16518,16273,3799,6178.624680120187,323.0,0.5828874436502941,195760.35935,7,5,9,17,17,10,112.79327720764456,0.3788652413916261,1.0202743018561111,5,1,10,6,0.0522770060850689,0.0011329382123699,0.145565504185358,0.0,8,157.3135869231242,0.0014566348444756045
2_74,M,2,15610,15310,5876,4684.6008100858935,295.0,0.5556989132969627,317546.89045000006,7,3,9,12,17,5,64.83749183540169,0.1761507096851832,1.0042071442067138,1,1,3,3,0.0629722813019346,0.0014942575224187,0.1349672074241619,0.0,8,81.67112998040497,0.0019211882431098717
2_76,M,2,16250,15351,2485,6371.417582643866,443.0,0.6502763131933431,447601.4091,6,4,8,11,20,5,15.685557944107876,0.2147988858244466,1.0066720109144351,1,0,5,3,0.069529267898993,0.0009417056600315,0.1329275440685182,0.0,12,27.419581786202855,0.001255607546708678
2_77,M,2,15218,14953,1042,6926.349711756573,446.0,0.6620299289323613,391269.6335499998,6,3,9,13,20,7,18.119574667290845,0.1766651700838807,1.0048045697890124,4,0,3,2,0.0643917818996308,0.0008662571556004,0.1146371764268848,0.0,11,30.97906774560289,0.0012993857334006218
2_78,M,2,16081,15532,3863,5793.031185744865,364.0,0.6198878782945628,336646.98745,7,4,9,9,15,2,16.350824105073396,0.2578266806329303,1.0102307244894806,2,0,6,6,0.0628341171191532,0.0012083484061375,0.1454449260170631,0.0,6,26.452420808653102,0.0015535908078911514
2_80,M,2,16075,15620,5092,5233.4741277721805,371.0,0.598483839483417,470735.45665,5,4,7,9,13,4,13.57752880921895,0.2160095169258711,1.0059370522641444,1,1,4,4,0.070889812568526,0.0009553883095488,0.1364490168830362,0.0,6,25.683290653008964,0.0013375436333684153
2_81,F,2,16135,16049,6249,4785.058629980584,344.0,0.6064670693543825,352622.25735000015,6,3,9,9,14,3,22.8009221758365,0.3374512516822426,1.015653515201449,3,0,4,2,0.0718904461994848,0.0012539031313863,0.167304336256824,0.0,5,37.6838432301078,0.0018808546970795464
2_83,F,2,17556,16554,5606,5406.679230188665,386.0,0.6105837875880207,479552.1669,5,4,6,9,9,4,13.790685030808264,0.3026152914943571,1.014905376789891,3,0,0,0,0.0713931756566462,0.0009247820680912,0.145346719986817,0.0,3,21.340099069711247,0.0011097384817095263
2_84,M,2,17056,15814,1994,6864.873110859768,471.0,0.6550399704950295,543907.0723000003,6,4,9,11,19,5,10.890982673580371,0.2951606610074744,1.0145726616469348,5,0,8,7,0.0686101538067629,0.0008740146981753,0.1400419224048229,0.0,10,20.10971291260908,0.0013110220472629865
2_85,F,2,15851,15816,4860,5380.416082884874,355.0,0.6179567371740754,335428.31245,5,3,8,8,12,3,16.41660343955488,0.297104651663594,1.0133677696740715,3,0,3,1,0.0659800272936616,0.0009292961590656,0.1533143089390849,0.0,4,29.846737481031866,0.0014868738545050508
2_86,F,2,16479,15859,5777,5006.062171602372,281.0,0.5671935303825509,318262.3054500001,5,3,8,8,16,3,54.13292136956933,0.185980872732209,1.0051885252813213,4,1,0,0,0.0561319437049771,0.0009987890338963,0.1288160270807538,0.0,8,156.25569077495427,0.001598062454234225
2_90,F,2,18246,17802,8326,4688.689271224991,254.0,0.5289568821569649,207433.86070000005,4,3,8,10,19,6,57.31086394787103,0.2895412159370363,1.011606119933775,4,0,5,3,0.0541729223898086,0.0008531168880284,0.1415890624331961,0.0,11,88.11903156948658,0.001706233776056966
2_93,M,2,15743,15583,539,7487.720613249869,472.0,0.672885899464313,393752.72955,7,5,9,12,20,5,18.554963742539947,0.2929739079488199,1.0143999467205136,3,1,5,2,0.0630365400072184,0.000934863940785,0.123960415790583,0.0,11,31.76147083360072,0.0012019679238664544
