Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NS,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,TimeRawTrimmed,TimeTrimmed,IdleTime,PathLength_Y,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent
525,54.0,male,Green,GreenPink,novel,deep,19.0,3.0,8.0,4.0,8.0,2908,2189,1130,673,47.6,220.27244625737512,12.0,0.3491543026241486,2216.082340640001,6.0,7.0,9.0,12.0,3.0,30.81858407079646,0.44796536045460716,1.0259115730044708,1,0,1,1,0.05447798943485978,0.02723899471742989,0.35376233366797266,0.0
529,53.0,male,Pink,PinkGreen,novel,deep,27.0,8.0,9.0,8.0,9.0,2802,2545,1364,1,132.69999999999993,609.0111200439835,19.0,0.37894395266325426,2846.045679115556,1.0,3.0,3.0,5.0,2.0,180.55058651026394,0.40728132697597835,1.0647953946605602,3,1,0,0,0.031198116708653526,0.0016420061425607118,0.43568244555174923,0.003537735849056604
530,30.0,male,Green,GreenGreen,familiar,deep,14.0,3.0,7.0,1.0,5.0,3370,3047,1358,281,86.39999999999998,525.964501621337,28.0,0.5090142991913262,7694.8612656800005,11.0,15.0,18.0,24.0,7.0,29.75478645066274,0.2920089764919171,1.0121245827742995,2,0,1,1,0.053235531891766955,0.020913958957479876,0.31991312361359275,0.0
531,35.0,female,Green,GreenPink,novel,deep,23.0,7.0,8.0,5.0,7.0,2589,2023,1173,470,56.39999999999999,331.2728716262504,21.0,0.4551808086338316,4349.516607217777,11.0,13.0,14.0,17.0,3.0,12.357203751065644,0.43380981906895283,1.0266357778494253,1,0,5,3,0.06339184943490538,0.03320525446590281,0.38222940311255155,0.0
534,45.0,female,Green,GreenGreen,familiar,deep,19.0,5.0,8.0,5.0,8.0,2369,2182,1383,563,65.6,386.22528181890533,25.0,0.5209586922996003,4500.405990968889,12.0,14.0,18.0,20.0,6.0,22.336948662328272,0.2930979831990471,1.0096365544206471,1,0,0,0,0.06472906144896565,0.031069949495503513,0.2994004299667075,0.0004585052728106373
535,12.0,male,Pink,PinkGreen,novel,deep,11.0,4.0,8.0,4.0,8.0,1556,1440,1390,732,50.99999999999993,323.55513403468325,22.0,0.4632443634983414,3388.1407666666664,7.0,11.0,10.0,18.0,3.0,13.668345323741008,0.42861661539453844,1.0214390848272557,3,0,0,0,0.06799459407632742,0.021634643569740545,0.293519961135036,0.0
536,9.0,female,Green,GreenPink,novel,deep,10.0,9.0,9.0,9.0,9.0,2664,2166,1221,276,84.3,478.31881438440973,29.0,0.5314833986403907,7372.461293217779,11.0,13.0,18.0,20.0,7.0,15.851760851760853,0.2668708679637518,1.0088093796903004,0,0,0,0,0.06062901798525871,0.022997213718546405,0.3357679032628566,0.00046189376443418013
537,8.0,female,Pink,PinkPink,familiar,deep,9.0,5.0,9.0,3.0,9.0,1826,1656,1362,1069,17.699999999999978,115.60623829077626,8.0,0.291203714792787,788.2639222222224,4.0,4.0,4.0,7.0,0.0,9.419236417033774,0.6824929774009931,1.0851334062288966,0,0,7,7,0.06920041788643067,0.03460020894321533,0.5073038843151383,0.0
538,14.0,male,Green,GreenGreen,familiar,deep,9.0,7.0,7.0,,,2829,2489,1321,230,86.89999999999999,558.7695409868511,33.0,0.5761781921945786,9306.591604444444,13.0,15.0,19.0,24.0,6.0,16.564723694171082,0.3089868176034587,1.015648476847168,4,0,2,2,0.05905833725603263,0.023265405585709824,0.3308932397296909,0.0
539,48.0,female,Pink,PinkGreen,novel,deep,22.0,2.0,7.0,1.0,7.0,1403,1274,1363,675,39.99999999999993,287.48398307707987,21.0,0.4522894824004624,2870.068465013333,9.0,10.0,12.0,19.0,3.0,51.59354365370506,0.34638777322088643,1.0129415111975693,2,0,3,2,0.07304754781545345,0.03130609192090862,0.3232865683701795,0.0
540,37.0,male,Green,GreenGreen,familiar,deep,21.0,6.0,8.0,5.0,7.0,2911,2625,1354,201,94.29999999999998,586.2474544083761,33.0,0.5484331377157433,9675.973776,15.0,18.0,21.0,25.0,6.0,15.901033973412112,0.44782270695839593,1.034869965867628,5,0,1,0,0.05629022309922461,0.025586465045102095,0.3446336746476295,0.00038109756097560977
541,17.0,female,Green,GreenGreen,familiar,deep,11.0,5.0,7.0,5.0,7.0,2544,2229,1316,271,90.19999999999997,508.899856235309,39.0,0.5807332915986867,8656.81085024,15.0,18.0,17.0,20.0,2.0,6.64741641337386,0.3811702446069372,1.0197953303029825,2,1,0,0,0.07663590296234409,0.029475347293209265,0.3660106875491928,0.0
543,9.0,male,Green,GreenPink,novel,deep,8.0,2.0,7.0,5.0,5.0,2590,2274,1318,490,69.89999999999999,398.73939223378625,27.0,0.48935908602102807,7249.3779347400005,9.0,11.0,9.0,13.0,0.0,9.079666160849772,0.5321437719354704,1.0370385421049513,1,0,3,2,0.06771340009509152,0.02257113336503051,0.3628025546691531,0.0
544,23.0,female,Green,GreenGreen,familiar,deep,23.0,7.0,7.0,8.0,8.0,2801,2535,1359,366,88.69999999999999,482.8982962764691,38.0,0.5804531377920608,8511.216022222223,14.0,14.0,16.0,18.0,2.0,5.109639440765268,0.44216557427457986,1.031115272074791,0,0,1,0,0.07869151805465105,0.02899161191487144,0.3282987777402148,0.0
545,53.0,male,Pink,PinkPink,familiar,deep,16.0,5.0,8.0,7.0,9.0,2407,2304,1437,576,64.49999999999994,321.98313207026354,30.0,0.5371250027499049,8511.67542272,5.0,7.0,5.0,7.0,0.0,0.2776617954070981,0.31179118763714553,1.0110339856304935,1,0,1,0,0.09317258269744816,0.015528763782908026,0.4275106744909614,0.0017368649587494573
547,38.0,female,Green,GreenGreen,familiar,deep,25.0,2.0,7.0,2.0,7.0,2431,2116,1307,833,35.89999999999999,165.7432123158149,12.0,0.3807383107827156,1952.1783999999996,7.0,9.0,9.0,10.0,2.0,16.454475899005356,0.40104893237938205,1.0173809152362603,1,0,4,3,0.07240115496937899,0.042234007065471084,0.2719788974660346,0.0
548,8.0,female,Pink,PinkGreen,novel,deep,13.0,9.0,9.0,9.0,9.0,2073,1777,1287,902,32.299999999999976,177.17933231452287,15.0,0.3659357589732268,3277.5599228444453,7.0,7.0,8.0,7.0,1.0,0.3411033411033411,0.47744201697849853,1.030495965969634,0,0,6,4,0.08465998716697103,0.03950799401125314,0.5605945549396314,0.0022522522522522522
549,42.0,male,Pink,PinkPink,familiar,deep,10.0,3.0,7.0,3.0,7.0,1644,1551,1417,670,52.49999999999994,338.8300253799839,23.0,0.4696603955153561,4798.492663755555,9.0,11.0,12.0,14.0,3.0,19.01482004234298,0.40093162909579866,1.0183837847564965,1,1,2,0,0.06788064302803876,0.026561990750102123,0.36932195845302235,0.0
550,44.0,male,Green,GreenPink,novel,deep,14.0,2.0,7.0,4.0,7.0,2578,2368,1379,328,83.29999999999998,542.6064314406411,36.0,0.5774128131050925,9090.77421012,14.0,17.0,19.0,24.0,5.0,12.255257432922408,0.33657765707339554,1.0140638408415104,3,1,0,0,0.06634643069824772,0.025801389715985223,0.30983550422977757,0.0
551,11.0,male,Green,GreenGreen,familiar,deep,14.0,7.0,7.0,7.0,7.0,2505,1996,1197,480,59.69999999999999,356.67503995587384,25.0,0.4827887100257643,4534.21728832,11.0,13.0,13.0,16.0,2.0,5.086883876357561,0.5423155983606689,1.041868466172215,1,0,1,0,0.07009181243266387,0.0308403974703721,0.31694865787744286,0.0
552,41.0,female,Pink,PinkGreen,novel,deep,13.0,5.0,7.0,5.0,7.0,1532,1431,1403,699,42.69999999999994,299.07535635499164,24.0,0.49768327824059,5266.154069537778,8.0,13.0,10.0,15.0,2.0,21.942266571632217,0.3079095300713433,1.0127778050759684,2,0,6,6,0.08024733395791014,0.026749111319303385,0.33695124540272875,0.0
553,43.0,female,Pink,PinkPink,familiar,deep,18.0,3.0,8.0,5.0,8.0,1564,1435,1378,602,57.59999999999995,357.95821810896797,26.0,0.5126654788352669,6200.548884480001,10.0,14.0,13.0,19.0,3.0,15.697387518142236,0.3048551360680703,1.0139255393771345,1,0,1,0,0.07263417540000493,0.027936221307694204,0.308171808556011,0.0
554,13.0,female,Green,GreenGreen,familiar,deep,10.0,4.0,7.0,4.0,7.0,2464,2259,1377,535,65.2,411.9134957837848,27.0,0.499281271554641,5645.68610262,12.0,13.0,16.0,21.0,4.0,23.84241103848947,0.4101247346376023,1.0251094854115217,1,0,1,1,0.06554774309743039,0.029132330265524614,0.3300587471753689,0.001328609388839681
555,9.0,female,Green,GreenGreen,familiar,deep,10.0,5.0,7.0,5.0,7.0,2730,2426,1334,348,81.10000000000001,498.86645242351574,31.0,0.5250614691872288,5743.353093897777,14.0,14.0,22.0,23.0,8.0,24.93553223388306,0.3780785933274335,1.018116676490743,2,0,1,1,0.062140879286231014,0.02806362290345917,0.3045385715970483,0.0
556,11.0,female,Pink,PinkGreen,novel,deep,12.0,7.0,9.0,7.0,6.0,1490,1349,1359,507,59.29999999999991,415.83314258177404,26.0,0.484629814894523,4625.223146655557,11.0,13.0,17.0,26.0,6.0,37.280353200883,0.40432390872211443,1.0257600537029528,4,0,0,0,0.06252507878177861,0.026452917946137106,0.2610275001853169,0.0
557,48.0,male,Green,GreenPink,novel,deep,14.0,1.0,7.0,1.0,7.0,3623,3582,1485,1426,6.800000000000001,29.910490441123525,3.0,0.05624738661471314,67.21010051555552,3.0,4.0,3.0,4.0,0.0,0.06127946127946128,0.18188611417997874,1.0034682572534677,0,0,0,0,0.10029925807820728,0.10029925807820728,0.3167024595654177,0.0
558,13.0,male,Pink,PinkPink,familiar,deep,10.0,1.0,8.0,1.0,8.0,1881,1689,1348,800,38.09999999999998,227.2595002780036,21.0,0.4419026762506615,3210.509770666666,9.0,9.0,9.0,10.0,0.0,5.741097922848665,0.47146194447411144,1.0273274973564908,0,0,0,0,0.09240537787996089,0.03960230480569753,0.4301407463428755,0.0
559,11.0,male,Green,GreenGreen,familiar,deep,9.0,3.0,4.0,3.0,3.0,2800,2458,1318,129,356.4,608.1730206460123,43.0,0.5993208503913318,10476.624141940001,13.0,17.0,18.0,23.0,5.0,6.927921092564492,0.4628767576471428,1.033174534004191,0,0,1,0,0.07070356385478038,0.02137549604911965,0.33827892768798734,0.0
560,8.0,male,Pink,PinkGreen,novel,deep,13.0,9.0,5.0,9.0,9.0,2399,2164,1355,942,37.79999999999997,194.0025719912358,12.0,0.3189354992461382,1374.802187955557,4.0,5.0,5.0,6.0,1.0,1.5712177121771218,0.8835488869151747,1.096133319130106,1,0,0,0,0.06185485005086483,0.020618283350288275,0.4916260893525168,0.0
561,9.0,male,Pink,PinkPink,familiar,deep,15.0,4.0,8.0,1.0,8.0,1632,1507,1387,227,117.7999999999999,541.513922399144,42.0,0.5901794766488696,8364.46946577778,13.0,17.0,17.0,23.0,4.0,9.12761355443403,0.4171218901716648,1.0242808902210552,1,1,2,2,0.07756033273146809,0.024006769654978218,0.3345428174334935,0.0
562,43.0,female,Green,GreenPink,novel,deep,26.0,3.0,7.0,3.0,5.0,2775,2630,1423,422,77.5,455.6567217054058,29.0,0.530526515858777,6464.619775111112,11.0,13.0,16.0,24.0,5.0,19.469430780042163,0.29643495725351926,1.0137619665918693,0,0,1,0,0.06364440294320792,0.024140980426734036,0.33161654330264656,0.0
563,11.0,male,Pink,PinkGreen,novel,deep,8.0,6.0,8.0,7.0,7.0,1541,1318,1284,796,35.299999999999955,235.58198340569172,17.0,0.4166635518855284,2711.1650000000004,5.0,9.0,7.0,13.0,2.0,16.27803738317757,0.34860201766750937,1.0131303857109244,2,0,1,1,0.0721617152306787,0.021224033891376087,0.2744636757839331,0.0
