1/4,1/2,1/1,2x,4x
1.0060262648534763,1.0139391542795613,1.0303809001632165,1.0549244602294126,1.072253650160917
1.0019249466013922,1.004473589005113,1.0101854658419582,1.0200399108193734,1.033549229893305
1.0026321167588204,1.0051255567074553,1.0084075800951156,1.0126035681810739,1.0168097685165594
1.0008306167677579,1.0017051654114653,1.0035230322306352,1.0071339940815975,1.0139613149050537
1.0007674820324906,1.0015640844260592,1.0032953732446526,1.0065228731530786,1.0124034836848317
1.0030837597491395,1.0058189288381039,1.0117502593732146,1.0200326146908254,1.027608603894067
1.0020618177763077,1.0048336293565563,1.0113607436065903,1.021360164768575,1.0332625519514083
1.0013212018402164,1.0029919558532157,1.0066819489549323,1.0127597778130228,1.019343706536489
1.001856922027586,1.0039548625715469,1.0084334909663575,1.016826347110109,1.0308667234799551
1.0019460598931662,1.0045297631516963,1.0094300310153157,1.016881125343642,1.0244897897283542
1.001423508807861,1.0029810111068347,1.0058008132151037,1.0104198331958196,1.0204513690632004
1.0012406376131107,1.002658267606392,1.0061028814624642,1.0129161754549527,1.0252850787857943
1.0020402002727757,1.0045219059871902,1.0095732578326797,1.0196687342467627,1.0313249199209342
1.0028345706161983,1.005932222330071,1.01250203193933,1.0205632730086094,1.0286525839839058
1.0074533245322894,1.0155768596727368,1.032799727159457,1.0575581652586559,1.0877019153660237
1.001869073456688,1.0043244819916817,1.0090009627035292,1.016681068015501,1.0237424994559863
1.0018223547040557,1.0045446336678032,1.0110173757668615,1.0216184701990172,1.033373414324818
1.0021340890084756,1.0050701284616634,1.011813184241606,1.0231819043177393,1.0384445596530743
1.0032115439033307,1.0070328959041799,1.01500174803858,1.0284473243837096,1.0459915766988535
1.0010489401286349,1.0022735714056399,1.0055145930426916,1.011039787854949,1.0204287850683749
1.0036777764109215,1.0075891840936524,1.0161178075183135,1.02997657746751,1.0477774253509198
1.0018872733924151,1.0043320017296353,1.009964802515442,1.0189505908888408,1.0345023712417525
1.00042427226769,1.00100888250915,1.0022376321919375,1.004638871382062,1.0074915402575162
1.0043100754922105,1.0093570098611158,1.0191692321239205,1.0333940207423309,1.0518413867271938
1.0060759689330883,1.0150955181520418,1.03298961359582,1.0543438922120432,1.0715618497820398
