Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NoveltySeeking,ExploratoryExcitability,Impulsiveness,Extravagance,Disorderliness,Total,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,IdleSteps2d,DistanceTravelledY,DistanceTravelled2d_100ms,AreaCoveredRaw_14,RoamingEntropy_14,ObjectsVisited10,ObjectVisits10,RevisitingGagnon14,StepLengthCoeffVar,LagStepsPercent3xMedian,LagStepsPercent4xMedian,LagStepsPercent5xMedian,trimLoss,SinuosityRediscretized,FractalDimension,numTurningPointsFlight150,numTurningPointsFlight160,numTurningPointsFlight170,numTurningPointsFlight180,numTurningPointsRaw150,numTurningPointsRaw160,numTurningPointsRaw170,numTurningPointsRaw180
541.0,17.0,female,Green,GreenGreen,familiar,deep,11.0,,,,,,5.0,7.0,5.0,7.0,2544,456,89.19999999999999,508.899856235309,39.0,0.5807332915986867,15.0,17.0,6.64741641337386,0.3660106875491928,0.0,0.0,0.0,185,0.3811702446069372,1.0193949499055561,2,2,2,1,0,0,0,0
543.0,9.0,male,Green,GreenPink,novel,deep,8.0,,,,,,2.0,7.0,5.0,5.0,2590,673,68.9,398.73939223378625,27.0,0.48935908602102807,9.0,9.0,9.079666160849772,0.3628025546691531,0.0,0.0,0.0,183,0.5321437719354704,1.036269252214317,1,1,0,0,4,3,2,2
544.0,23.0,female,Green,GreenGreen,familiar,deep,23.0,8.0,4.0,6.0,5.0,23.0,7.0,7.0,8.0,8.0,2801,508,87.69999999999999,482.8982962764691,38.0,0.5804531377920608,14.0,16.0,5.109639440765268,0.3282987777402148,0.0,0.0,0.0,142,0.44216557427457986,1.0287172770411177,1,0,0,0,1,1,0,0
545.0,53.0,male,Pink,PinkPink,familiar,deep,16.0,6.0,4.0,4.0,2.0,16.0,5.0,8.0,7.0,9.0,2407,640,63.999999999999936,321.98313207026354,30.0,0.5371250027499049,5.0,5.0,0.2776617954070981,0.4275106744909614,0.001392757660167131,0.0,0.0,64,0.31179118763714553,1.0109382632836466,1,1,0,0,1,1,1,0
547.0,38.0,female,Green,GreenGreen,familiar,deep,25.0,7.0,5.0,4.0,9.0,25.0,2.0,7.0,2.0,7.0,2431,1027,34.89999999999999,165.7432123158149,12.0,0.3807383107827156,7.0,9.0,16.454475899005356,0.2719788974660346,0.0,0.0,0.0,194,0.40104893237938205,1.0243429555895012,1,1,0,0,4,4,3,3
548.0,8.0,female,Pink,PinkGreen,novel,deep,13.0,,,,,,9.0,9.0,9.0,9.0,2073,1116,31.799999999999976,177.17933231452287,15.0,0.3659357589732268,7.0,7.0,0.3411033411033411,0.5605945549396314,0.006998444790046656,0.0,0.0,214,0.47744201697849853,1.030377247587226,0,0,0,0,6,6,5,4
549.0,42.0,male,Pink,PinkPink,familiar,deep,10.0,3.0,0.0,2.0,5.0,10.0,3.0,7.0,3.0,7.0,1644,754,51.999999999999936,338.8300253799839,23.0,0.4696603955153561,9.0,12.0,19.01482004234298,0.36932195845302235,0.0,0.0,0.0,84,0.40093162909579866,1.0188882031887874,2,1,1,1,2,2,1,0
550.0,44.0,male,Green,GreenPink,novel,deep,14.0,5.0,0.0,4.0,5.0,14.0,2.0,7.0,4.0,7.0,2578,450,82.29999999999998,542.6064314406411,36.0,0.5774128131050925,14.0,19.0,12.255257432922408,0.30983550422977757,0.0,0.0,0.0,122,0.33657765707339554,1.014762076567969,4,3,2,1,0,0,0,0
551.0,11.0,male,Green,GreenGreen,familiar,deep,14.0,,,,,,7.0,7.0,7.0,7.0,2505,784,58.699999999999996,356.67503995587384,25.0,0.4827887100257643,11.0,13.0,5.086883876357561,0.31694865787744286,0.0,0.0,0.0,304,0.5423155983606689,1.0449254917723292,1,1,1,0,1,1,0,0
552.0,41.0,female,Pink,PinkGreen,novel,deep,13.0,6.0,2.0,1.0,4.0,13.0,5.0,7.0,5.0,7.0,1532,797,42.19999999999994,299.07535635499164,24.0,0.49768327824059,8.0,10.0,21.942266571632217,0.33695124540272875,0.0,0.0,0.0,98,0.3079095300713433,1.010694784663018,2,2,2,0,7,6,6,6
