Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NoveltySeeking,ExploratoryExcitability,Impulsiveness,Extravagance,Disorderliness,Total,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,IdleSteps2d,DistanceTravelledY,DistanceTravelled2d_100ms,AreaCoveredRaw_14,RoamingEntropy_14,ObjectsVisited10,ObjectVisits10,RevisitingGagnon14,StepLengthCoeffVar,LagStepsPercent3xMedian,LagStepsPercent4xMedian,LagStepsPercent5xMedian,trimLoss,SinuosityRediscretized,FractalDimension,numTurningPointsFlight150,numTurningPointsFlight160,numTurningPointsFlight170,numTurningPointsFlight180,numTurningPointsRaw150,numTurningPointsRaw160,numTurningPointsRaw170,numTurningPointsRaw180
604.0,53.0,male,Green,GreenGreen,familiar,deep,17.0,6.0,1.0,5.0,5.0,17.0,7.0,8.0,7.0,8.0,3357,993,40.39999999999999,222.9460902156844,12.0,0.35031268973746593,7.0,11.0,47.90490566037736,0.38679692371366786,0.0,0.0,0.0,176,0.527206541753906,1.0362739987366345,3,1,1,0,2,1,1,1
605.0,10.0,female,Pink,PinkGreen,novel,deep,10.0,,,,,,5.0,8.0,6.0,9.0,2359,659,61.19999999999993,377.34077752308804,34.0,0.5608267570758102,11.0,13.0,3.906181818181818,0.40006427645900716,0.0,0.0,0.0,126,0.31417417415093774,1.0113354261892524,2,2,1,0,1,1,0,0
606.0,12.0,male,Pink,PinkPink,familiar,deep,10.0,,,,,,7.0,8.0,7.0,8.0,2111,415,411.8999999999999,525.0173465645346,41.0,0.5662190703364236,11.0,12.0,3.640200286123033,0.405609353190682,0.0,0.0,0.0,103,0.6208034374557658,1.0584443012736742,1,1,1,0,9,7,4,3
607.0,46.0,female,Green,GreenPink,novel,deep,21.0,6.0,4.0,3.0,8.0,21.0,5.0,8.0,5.0,8.0,3026,515,86.49999999999999,510.8903346879721,36.0,0.5154494135806378,11.0,14.0,5.967001434720229,0.39887973632899165,0.0,0.0,0.0,107,0.32094535790147355,1.0133311301935366,1,1,1,0,1,1,1,1
608.0,8.0,male,Pink,PinkGreen,novel,deep,11.0,,,,,,1.0,6.0,1.0,7.0,2443,975,38.799999999999955,233.71957104166069,15.0,0.3884190293354074,6.0,7.0,26.086748633879782,0.4252978890360501,0.0,0.0,0.0,37,0.5835222786445526,1.0469366999460172,1,1,1,0,2,2,1,1
609.0,8.0,female,Green,GreenGreen,familiar,deep,9.0,,,,,,3.0,7.0,1.0,8.0,3318,1160,26.699999999999996,153.79155040805267,8.0,0.3029232142371893,4.0,6.0,74.93371522094927,0.3557829471985753,0.0,0.0,0.0,279,0.4858275200299209,1.0268310242697365,2,2,2,0,1,1,1,1
611.0,22.0,male,Green,GreenGreen,familiar,deep,25.0,8.0,4.0,6.0,7.0,25.0,3.0,9.0,3.0,9.0,2422,277,101.6,616.2171693120928,42.0,0.5872714507824454,15.0,23.0,17.29735525375268,0.33375632663923316,0.000715307582260372,0.0,0.0,102,0.23957852633403143,1.012170685929616,3,3,1,0,1,1,1,1
612.0,8.0,male,Green,GreenPink,novel,deep,8.0,,,,,,6.0,8.0,9.0,8.0,2857,808,104.19999999999999,326.41024854258626,20.0,0.42737154559424523,8.0,11.0,39.78450184501845,0.34055136753038695,0.0,0.0,0.0,146,0.5175271494776515,1.028295210447415,1,1,0,0,3,3,3,3
613.0,32.0,female,Pink,PinkGreen,novel,deep,25.0,8.0,4.0,6.0,7.0,25.0,8.0,7.0,8.0,7.0,2237,233,97.6999999999999,595.0102546494519,41.0,0.5882680789943507,17.0,23.0,12.215,0.3780738637619356,0.0,0.0,0.0,101,0.240866905897226,1.0061293097457007,0,0,0,0,4,3,3,3
614.0,64.0,female,Green,GreenGreen,familiar,deep,17.0,4.0,6.0,3.0,4.0,17.0,3.0,7.0,5.0,8.0,3039,1136,27.6,164.0704716720867,12.0,0.361181336671983,6.0,9.0,17.3416477702192,0.332187928428514,0.0,0.0,0.0,178,0.4284552545452254,1.0249735369724182,2,1,1,1,5,5,5,5
616.0,8.0,female,Pink,PinkGreen,novel,deep,11.0,,,,,,2.0,9.0,4.0,8.0,2052,1265,14.99999999999998,86.33683742593132,9.0,0.2676071217658711,4.0,4.0,0.4442825928623452,0.42525526707237377,0.0,0.0,0.0,128,0.44389491310446355,1.0366290522545372,0,0,0,0,1,1,1,1
619.0,20.0,female,Green,GreenPink,novel,deep,24.0,6.0,4.0,5.0,9.0,24.0,3.0,6.0,4.0,7.0,2918,522,79.59999999999998,474.3818516100996,39.0,0.5839695967492612,10.0,10.0,1.3891178895300906,0.3841060083260277,0.0008250825082508251,0.0,0.0,288,0.2943420294148761,1.0113127194776874,0,0,0,0,1,1,1,1
620.0,51.0,male,Green,GreenGreen,familiar,deep,19.0,7.0,2.0,3.0,7.0,19.0,5.0,7.0,3.0,6.0,2848,561,79.5,472.9308899484313,32.0,0.5317979458613008,12.0,16.0,12.108366533864542,0.32077160428990414,0.0,0.0,0.0,246,0.3158580859971906,1.0136830683509563,2,2,2,0,2,2,2,2
622.0,10.0,female,Green,GreenGreen,familiar,deep,8.0,,,,,,5.0,9.0,4.0,7.0,2779,724,65.1,400.65660165871424,30.0,0.5121807325940845,14.0,19.0,17.707105719237436,0.3060603132820591,0.0,0.0,0.0,347,0.3419319820669795,1.0192568316941146,2,2,0,0,1,1,1,1
623.0,33.0,male,Green,GreenGreen,familiar,deep,15.0,,,,,,2.0,6.0,2.0,5.0,2809,472,101.39999999999998,519.7109858266886,34.0,0.5316947352194152,11.0,12.0,7.296886314265025,0.32616014938483073,0.0,0.0,0.0,120,0.6867869274556042,1.06724616811514,2,2,2,0,2,1,0,0
624.0,47.0,male,Pink,PinkPink,familiar,deep,16.0,6.0,3.0,4.0,3.0,16.0,7.0,7.0,7.0,7.0,3049,212,107.7999999999999,610.4962433414154,53.0,0.6448590956537421,10.0,10.0,1.2527553269654665,0.45493774707543894,0.0,0.0,0.0,140,0.2244128954529999,1.0063633693707454,0,0,0,0,1,1,1,1
625.0,10.0,female,Green,GreenPink,novel,deep,10.0,,,,,,6.0,9.0,6.0,9.0,2575,603,75.6,435.20451744990675,31.0,0.5437053501157086,13.0,16.0,17.93174603174603,0.3242959773518799,0.0,0.0,0.0,241,0.3295864292835984,1.0192104033019027,2,2,2,0,1,0,0,0
626.0,37.0,male,Pink,PinkGreen,novel,deep,15.0,5.0,4.0,3.0,3.0,15.0,3.0,5.0,4.0,5.0,2007,685,57.59999999999992,366.28760776808844,25.0,0.480638604069316,11.0,13.0,11.262820512820513,0.3741574654232517,0.0,0.0,0.0,97,0.5438591377168348,1.0390144547866118,2,2,2,0,4,4,2,1
628.0,12.0,female,Green,GreenPink,novel,deep,13.0,,,,,,7.0,8.0,8.0,8.0,2594,592,71.19999999999999,438.26588981837676,32.0,0.5144827216583429,15.0,19.0,20.55218356772761,0.3374305155644939,0.0,0.0,0.0,150,0.404775160804352,1.022884966440854,0,0,0,0,5,5,5,5
629.0,10.0,male,Pink,PinkPink,familiar,deep,11.0,,,,,,6.0,7.0,6.0,7.0,2283,508,76.29999999999993,443.5515393340164,38.0,0.5642421349257715,14.0,15.0,5.163846153846154,0.43616656512667845,0.0,0.0,0.0,201,0.32751632504737543,1.0142872821910742,0,0,0,0,1,1,1,1
630.0,10.0,female,Green,GreenGreen,familiar,deep,10.0,,,,,,7.0,8.0,7.0,9.0,2894,465,88.2,531.8976294064519,29.0,0.5434286533571719,13.0,20.0,18.83763277693475,0.31682200097541696,0.0,0.0,0.0,183,0.3824816938315903,1.0220105369807881,3,2,0,0,2,2,1,0
631.0,9.0,male,Pink,PinkGreen,novel,deep,13.0,,,,,,8.0,8.0,7.0,9.0,2225,845,57.199999999999946,289.3108433894636,19.0,0.4250981285733762,9.0,11.0,13.565018315018316,0.37362106062083744,0.0,0.0,0.0,409,0.6871973453534779,1.0518294116193139,1,1,0,0,3,3,2,1
632.0,12.0,female,Pink,PinkPink,familiar,deep,11.0,,,,,,1.0,6.0,2.0,6.0,2331,358,88.59999999999991,497.792364107765,38.0,0.5714981408252618,13.0,18.0,15.07001414427157,0.42134879422459937,0.0,0.0,0.0,87,0.29148510261437194,1.012745871033653,2,1,1,1,1,1,1,1
633.0,10.0,male,Green,GreenPink,novel,deep,11.0,,,,,,8.0,9.0,8.0,9.0,2550,585,73.6,468.77026870527607,27.0,0.50859751926108,12.0,19.0,41.98064035740879,0.3053767535358566,0.0,0.0,0.0,158,0.32466369218334534,1.0144559625837335,3,3,3,0,0,0,0,0
634.0,11.0,female,Pink,PinkPink,familiar,deep,10.0,,,,,,8.0,9.0,6.0,8.0,1862,444,103.89999999999996,471.30457701481214,35.0,0.5572584333029694,9.0,11.0,6.329696024941543,0.38809065525130304,0.0,0.0,0.0,218,0.4242317709103099,1.0230051518712577,0,0,0,0,2,1,1,0
635.0,10.0,male,Pink,PinkGreen,novel,deep,11.0,,,,,,7.0,8.0,9.0,8.0,2102,835,55.09999999999994,318.01459841778615,25.0,0.4755657822233743,11.0,12.0,7.550373134328358,0.33630211048710223,0.0,0.0,0.0,429,0.4701083696528659,1.0286679787355006,1,1,1,0,1,1,1,1
636.0,12.0,female,Green,GreenGreen,familiar,deep,10.0,,,,,,5.0,7.0,6.0,8.0,3126,985,41.9,257.4869269279262,14.0,0.357312989212412,7.0,11.0,39.86557886557887,0.37405722738528335,0.0,0.0,0.0,214,0.6354286506978322,1.0396772629394784,2,1,1,1,1,1,1,1
637.0,8.0,male,Pink,PinkPink,familiar,deep,12.0,,,,,,9.0,8.0,9.0,8.0,1462,1207,43.499999999999986,125.55818762696487,11.0,0.32244870767268813,5.0,6.0,10.474452554744525,0.3100364622318606,0.0,0.0,0.0,131,0.9311128641225833,1.1156258660706166,0,0,0,0,0,0,0,0
638.0,35.0,female,Pink,PinkPink,familiar,deep,18.0,6.0,3.0,6.0,3.0,18.0,5.0,6.0,6.0,6.0,2459,942,47.099999999999966,228.60843390270168,15.0,0.4317385045700477,5.0,9.0,37.706713780918726,0.45360694344952457,0.0,0.0,0.0,86,0.4529382168794169,1.0274246857083058,2,2,2,1,3,3,3,3
639.0,46.0,female,Green,GreenPink,novel,deep,15.0,3.0,6.0,5.0,1.0,15.0,5.0,9.0,6.0,9.0,2640,1145,25.999999999999993,159.00624399080885,9.0,0.2625594829688465,5.0,8.0,108.62539432176656,0.42768806772591467,0.0015785319652722968,0.0007892659826361484,0.0,233,0.3736348631760479,1.019927784269585,1,1,1,0,1,1,1,1
641.0,35.0,female,Green,GreenGreen,familiar,deep,23.0,9.0,5.0,3.0,6.0,23.0,8.0,8.0,7.0,9.0,2860,710,63.3,400.05504482749586,26.0,0.489736930851631,11.0,14.0,15.801872074882995,0.35747743921065805,0.0,0.0,0.0,219,0.3813903962679221,1.018079926374012,3,1,0,0,3,2,2,2
642.0,10.0,male,Pink,PinkPink,familiar,deep,14.0,,,,,,6.0,8.0,7.0,9.0,2157,522,78.59999999999992,424.04280257820693,29.0,0.5190338320081784,11.0,16.0,31.443895553987296,0.4275321712306085,0.0,0.0,0.0,84,0.5005308834690743,1.027540069174337,1,0,0,0,3,3,3,3
643.0,8.0,male,Green,GreenPink,novel,deep,12.0,,,,,,6.0,7.0,6.0,7.0,2969,919,41.79999999999999,250.4077293885862,14.0,0.3824317664169188,5.0,10.0,52.65131056393963,0.4192094966660621,0.0,0.0,0.0,242,0.4730432924583617,1.0258759021219266,2,1,1,0,2,2,2,2
644.0,11.0,male,Pink,PinkPink,familiar,deep,13.0,,,,,,8.0,8.0,4.0,8.0,2915,401,84.09999999999991,476.2166332248297,36.0,0.5601328986133167,11.0,12.0,5.584626234132581,0.5234436229311175,0.0007057163020465773,0.0,0.0,83,0.5808389803685781,1.0413331288324534,1,1,0,0,0,0,0,0
645.0,10.0,male,Pink,PinkGreen,novel,deep,12.0,,,,,,8.0,7.0,8.0,7.0,3975,221,105.99999999999993,575.380504010436,37.0,0.5782044664839544,8.0,9.0,16.45098039215686,0.46573836773032457,0.002803083391730904,0.0,0.0,73,0.47633166961309753,1.0347939828909982,1,1,1,0,3,3,2,0
646.0,11.0,female,Pink,PinkGreen,novel,deep,11.0,,,,,,3.0,8.0,,,2244,839,51.29999999999993,327.3978881592099,26.0,0.4756308904696111,10.0,14.0,9.464887640449438,0.3419765513326225,0.0,0.0,0.0,77,0.5164529163758883,1.035718862278637,2,2,1,1,3,3,3,3
647.0,36.0,male,Green,GreenPink,novel,deep,22.0,7.0,2.0,6.0,7.0,22.0,7.0,8.0,8.0,6.0,2557,293,101.5,598.9256351250169,43.0,0.5957808181936555,15.0,18.0,7.541757443718228,0.32122134829284077,0.0,0.0,0.0,124,0.4211687261811263,1.0353783372015144,1,1,1,1,2,2,1,1
648.0,8.0,female,Pink,PinkPink,familiar,deep,13.0,,,,,,8.0,8.0,9.0,9.0,1899,1164,24.79999999999997,157.3187656911213,13.0,0.3412969964126446,6.0,7.0,6.823749066467513,0.28252621204780914,0.0,0.0,0.0,162,0.3698803048700016,1.0225819866968349,1,1,1,0,1,1,0,0
649.0,9.0,male,Green,GreenGreen,familiar,deep,11.0,,,,,,9.0,9.0,9.0,9.0,2752,508,125.8,487.38624907347037,33.0,0.5279356059750295,14.0,17.0,13.274289985052317,0.32911856414834856,0.0,0.0,0.0,163,0.4527630216321795,1.0275765713105502,1,1,1,0,2,1,1,0
650.0,9.0,female,Green,GreenGreen,familiar,deep,11.0,,,,,,7.0,8.0,7.0,8.0,2573,810,52.599999999999994,334.9066498046911,21.0,0.45821175786762175,10.0,16.0,33.27454242928452,0.3221983308780478,0.0,0.0,0.0,299,0.4190551584631704,1.0206834627529524,1,1,1,1,0,0,0,0
651.0,25.0,male,Green,GreenGreen,familiar,deep,13.0,,,,,,1.0,7.0,1.0,6.0,3165,748,59.099999999999994,349.9881909972002,13.0,0.32650756916114165,6.0,10.0,101.5409604519774,0.3893808507145502,0.0007067137809187279,0.0,0.0,85,0.8647998929920674,1.0948918652118729,4,1,1,1,5,5,3,2
652.0,10.0,female,Pink,PinkGreen,novel,deep,10.0,,,,,,5.0,9.0,5.0,9.0,1881,1177,20.99999999999997,137.71778171990755,13.0,0.38682419499069465,5.0,5.0,9.795754026354318,0.3031902381699556,0.0,0.0,0.0,135,0.37029718499697006,1.033360244190456,0,0,0,0,2,2,2,2
653.0,22.0,female,Pink,PinkPink,familiar,deep,10.0,2.0,3.0,0.0,5.0,10.0,1.0,8.0,4.0,7.0,2282,412,74.99999999999991,483.4561764952449,33.0,0.5413325034130817,13.0,17.0,18.022176022176023,0.412533870050897,0.0,0.0,0.0,59,0.41713231311606025,1.0262592761164937,3,3,3,0,0,0,0,0
654.0,10.0,female,Green,GreenPink,novel,deep,12.0,,,,,,4.0,8.0,3.0,7.0,2584,684,128.0,388.2273696692378,23.0,0.4854577935035366,11.0,11.0,7.845771144278607,0.3066022916803155,0.0,0.0,0.0,94,0.6658406348133763,1.0534078731608303,2,2,1,0,3,3,2,1
655.0,20.0,female,Green,GreenPink,novel,deep,17.0,5.0,3.0,2.0,7.0,17.0,6.0,8.0,7.0,8.0,3609,833,5602.0,368.19366869172524,30.0,0.4664186148906296,5.0,7.0,12.035818713450292,0.3956245804766456,0.0,0.0,0.0,133,0.3494195397912675,1.0150022938983558,1,0,0,0,3,3,3,2
656.0,20.0,male,Pink,PinkPink,familiar,deep,16.0,6.0,3.0,2.0,5.0,16.0,3.0,7.0,4.0,7.0,2747,693,64.39999999999995,359.5342055798342,34.0,0.5314408918131355,10.0,10.0,0.42075736325385693,0.43427070945630214,0.0,0.0,0.0,75,0.281788977992636,1.008707737483041,0,0,0,0,2,2,1,1
657.0,38.0,female,Green,GreenGreen,familiar,deep,18.0,5.0,3.0,5.0,5.0,18.0,8.0,9.0,8.0,9.0,3127,788,60.8,349.0121750099581,25.0,0.4859493542636575,11.0,14.0,4.285924834193073,0.3650796281489219,0.0,0.0,0.0,144,0.3546853055188704,1.0148167624474178,1,1,1,0,1,1,1,1
658.0,11.0,male,Pink,PinkGreen,novel,deep,11.0,,,,,,7.0,7.0,5.0,6.0,2188,1138,25.19999999999997,157.73353128351047,12.0,0.36328870399625834,5.0,6.0,27.766787658802176,0.3091875853925462,0.0,0.0,0.0,399,0.4351035454572495,1.0256028590372197,1,1,1,0,3,3,3,3
659.0,48.0,male,Pink,PinkPink,familiar,deep,17.0,6.0,1.0,3.0,7.0,17.0,6.0,9.0,6.0,9.0,2300,769,44.49999999999994,245.2120563383123,24.0,0.4808846366103596,9.0,10.0,12.527234636871508,0.4936102440966282,0.002795248078266946,0.0006988120195667365,0.0,69,0.3480797034094969,1.0158163188363325,1,1,1,0,2,0,0,0
660.0,8.0,female,Green,GreenPink,novel,deep,11.0,,,,,,5.0,5.0,3.0,7.0,2767,1109,31.200000000000003,184.90220760412834,15.0,0.3899543446458662,7.0,11.0,25.5,0.2898753429975571,0.0,0.0,0.0,281,0.5229153065184013,1.040285298704993,0,0,0,0,0,0,0,0
661.0,45.0,male,Green,GreenGreen,familiar,deep,20.0,7.0,3.0,3.0,7.0,20.0,5.0,7.0,6.0,7.0,3008,562,79.79999999999998,490.639381936198,42.0,0.5874042362553613,12.0,14.0,8.082664526484752,0.3327319027792975,0.0,0.0,0.0,255,0.2669303682179207,1.0075654930032933,0,0,0,0,3,3,3,3
662.0,8.0,male,Pink,PinkPink,familiar,deep,10.0,,,,,,4.0,9.0,5.0,7.0,1984,1226,20.199999999999974,126.0733400480457,9.0,0.28063106380094593,3.0,5.0,127.47415066469719,0.3303501069265294,0.0,0.0,0.0,147,0.30271892051253413,1.0127296364176384,1,1,1,0,0,0,0,0
663.0,9.0,male,Green,GreenPink,novel,deep,10.0,,,,,,7.0,8.0,6.0,8.0,2590,869,47.099999999999994,296.7393063338627,19.0,0.39648452239064735,9.0,12.0,8.506137184115524,0.3087015863401344,0.0,0.0,0.0,116,0.46793823163359505,1.0295627221417765,1,1,1,0,0,0,0,0
664.0,8.0,male,Green,GreenGreen,familiar,deep,12.0,,,,,,4.0,8.0,4.0,8.0,2608,301,104.59999999999998,594.4089972945119,31.0,0.5386987340341439,11.0,19.0,24.985152190051966,0.3456937594888099,0.0,0.0,0.0,154,0.2662540039281234,1.00760976656695,2,1,1,0,0,0,0,0
665.0,11.0,male,Pink,PinkGreen,novel,deep,16.0,,,,,,8.0,9.0,8.0,7.0,1925,542,98.99999999999991,465.81147432573704,16.0,0.42201268456497815,5.0,18.0,108.34052388289676,0.3115802904271565,0.0,0.0,0.0,203,0.6252347540947362,1.0499538613298864,4,4,4,0,3,2,2,0
666.0,12.0,male,Green,GreenGreen,familiar,deep,10.0,,,,,,2.0,7.0,4.0,8.0,2857,263,245.5,625.1392632023269,30.0,0.5390320287748308,14.0,21.0,31.605531295487626,0.36498177806040455,0.0,0.0,0.0,127,0.44903870258054984,1.041461663112634,5,4,3,0,3,3,1,1
667.0,42.0,female,Pink,PinkGreen,novel,deep,18.0,3.0,5.0,3.0,7.0,18.0,5.0,8.0,4.0,8.0,2207,1066,30.999999999999964,167.13493355560428,15.0,0.37505521487218213,7.0,7.0,0.15022421524663676,0.38211762270279725,0.0,0.0,0.0,163,0.4017563339462368,1.0191957469311108,0,0,0,0,3,3,3,3
669.0,9.0,female,Pink,PinkPink,familiar,deep,10.0,,,,,,5.0,9.0,7.0,9.0,2700,747,55.39999999999995,310.9751806813856,25.0,0.4340369255175663,9.0,9.0,1.3708851499634236,0.4492465183034217,0.0007320644216691069,0.0,0.0,134,0.7939918463414604,1.0662878503294566,0,0,0,0,1,1,1,1
670.0,43.0,male,Green,GreenGreen,familiar,deep,19.0,4.0,3.0,4.0,8.0,19.0,1.0,9.0,1.0,9.0,2585,694,61.399999999999984,383.28935082031114,25.0,0.5011738645637375,11.0,14.0,11.512158054711247,0.3430281514350926,0.0,0.0,0.0,185,0.32777487888437756,1.0134249462807938,3,3,2,1,1,1,1,1
671.0,11.0,female,Green,GreenPink,novel,deep,8.0,,,,,,5.0,8.0,4.0,9.0,2539,489,90.29999999999998,511.9283399542201,39.0,0.5714363527817575,15.0,21.0,10.941852117731514,0.29354375893362095,0.0,0.0,0.0,108,0.2715450611075722,1.0110253323938316,0,0,0,0,2,2,2,2
672.0,10.0,female,Green,GreenGreen,familiar,deep,11.0,,,,,,8.0,9.0,8.0,9.0,3206,1062,38.0,222.79256864720995,20.0,0.44603706287394895,8.0,9.0,7.283653846153846,0.362110198841077,0.0,0.0,0.0,461,0.34925664397154843,1.015840242997287,1,1,1,0,1,1,1,1
673.0,60.0,female,Pink,PinkGreen,novel,deep,17.0,6.0,4.0,4.0,3.0,17.0,4.0,8.0,5.0,8.0,2524,1058,33.799999999999955,194.24676342980575,15.0,0.3627090218206935,5.0,7.0,38.476068376068376,0.463614614400562,0.0,0.0,0.0,331,0.3296447496247045,1.013356060831563,1,1,1,1,0,0,0,0
674.0,62.0,male,Pink,PinkPink,familiar,deep,21.0,6.0,5.0,5.0,5.0,21.0,3.0,7.0,3.0,5.0,2022,710,58.899999999999935,378.6144298504215,25.0,0.4797272004730036,10.0,13.0,28.65586753059755,0.3389093991935764,0.0,0.0,0.0,112,0.38895973607949524,1.0280825131153741,2,1,1,0,0,0,0,0
675.0,9.0,female,Green,GreenPink,novel,deep,14.0,,,,,,8.0,9.0,8.0,8.0,2588,924,47.099999999999994,294.6242480879165,16.0,0.41473940266377696,7.0,13.0,44.293663060278206,0.319899190311717,0.0007733952049497294,0.0,0.0,207,0.4747761175107653,1.03107899050995,4,4,3,0,0,0,0,0
676.0,20.0,female,Green,GreenGreen,familiar,deep,13.0,,,,,,7.0,9.0,7.0,9.0,3103,611,75.1,429.17784916293544,34.0,0.5463189662839053,13.0,14.0,10.578607322325915,0.36303089462660715,0.0,0.0,0.0,108,0.36710462552177187,1.0120525314816378,1,0,0,0,1,1,1,1
677.0,26.0,male,Pink,PinkPink,familiar,deep,19.0,6.0,4.0,3.0,6.0,19.0,3.0,7.0,3.0,7.0,2300,198,102.6999999999999,602.9460637052939,37.0,0.5784186239809174,14.0,17.0,9.730422730422731,0.3812832960200973,0.0,0.0,0.0,58,0.6155815833288023,1.0561836456454334,5,2,1,0,8,7,4,1
679.0,8.0,male,Pink,PinkGreen,novel,deep,14.0,,,,,,9.0,9.0,9.0,9.0,1919,1100,26.799999999999965,162.8483409678894,9.0,0.3291501898497244,4.0,7.0,64.71981057616416,0.35043186180354713,0.0,0.0,0.0,234,0.42980956024516875,1.0287810072287336,1,1,1,0,0,0,0,0
680.0,9.0,male,Green,GreenPink,novel,deep,13.0,,,,,,4.0,7.0,7.0,8.0,2718,1312,9.599999999999998,58.825539616723724,5.0,0.20429175390382873,3.0,3.0,0.18479307025986524,0.45910829187410773,0.0019267822736030828,0.0,0.0,462,0.9188475565515866,1.0636635748917012,0,0,0,0,6,5,4,4
681.0,46.0,female,Green,GreenGreen,familiar,deep,18.0,8.0,2.0,4.0,4.0,18.0,4.0,7.0,5.0,7.0,3072,723,58.599999999999994,363.4651601148462,25.0,0.48849611438196183,11.0,14.0,6.496688741721854,0.3931733713480675,0.0,0.0,0.0,293,0.3629104011620008,1.0179876167361384,2,2,1,0,0,0,0,0
682.0,11.0,male,Pink,PinkPink,familiar,deep,9.0,,,,,,6.0,7.0,7.0,7.0,2627,420,90.49999999999994,531.8164495836479,39.0,0.5695045360314486,15.0,19.0,9.197026022304833,0.41326700796544463,0.0,0.0,0.0,156,0.31169327951499703,1.0105275299249499,2,2,1,0,0,0,0,0
683.0,21.0,male,Green,GreenPink,novel,deep,12.0,4.0,3.0,2.0,3.0,12.0,2.0,6.0,3.0,6.0,2546,398,86.9,547.3120392855467,31.0,0.5513026401331883,15.0,22.0,21.618368962787017,0.3091797040162156,0.0,0.0,0.0,238,0.5434367084256321,1.04766289501594,2,2,2,0,3,3,3,1
684.0,14.0,female,Green,GreenGreen,familiar,deep,13.0,,,,,,7.0,5.0,5.0,5.0,2415,308,98.19999999999997,605.789276231681,42.0,0.6031250892478265,14.0,18.0,10.53875968992248,0.3829753926041618,0.0007757951900698216,0.0,0.0,211,0.23840852540395424,1.0083334233903969,3,2,2,1,0,0,0,0
685.0,47.0,male,Green,GreenPink,novel,deep,14.0,3.0,3.0,2.0,6.0,14.0,7.0,8.0,5.0,5.0,3052,609,79.19999999999999,435.71297515029664,34.0,0.5018150080302353,9.0,10.0,3.9858525688756514,0.40047478223160365,0.0,0.0,0.0,158,0.42410790975333656,1.0151864167558582,0,0,0,0,2,2,2,2
686.0,10.0,female,Pink,PinkPink,familiar,deep,11.0,,,,,,6.0,9.0,6.0,8.0,1836,1153,23.399999999999977,134.76287093460363,14.0,0.374663987908567,7.0,7.0,0.0,0.26246749830387944,0.0,0.0,0.0,150,0.2056020462113927,1.0034460607397682,0,0,0,0,0,0,0,0
687.0,13.0,male,Green,GreenGreen,familiar,deep,11.0,,,,,,5.0,7.0,5.0,7.0,2891,784,84.0,572.0950050386343,33.0,0.5185625718218511,14.0,24.0,11.379799666110184,0.45541570183953306,0.0,0.0,0.0,303,0.5571668641120211,1.0396172624646702,2,2,1,0,3,3,1,1
688.0,70.0,male,Green,GreenGreen,familiar,deep,17.0,4.0,5.0,4.0,4.0,17.0,2.0,9.0,2.0,9.0,2590,820,57.8,308.9478167768733,26.0,0.499130617902487,11.0,13.0,12.592622950819672,0.3317569550470341,0.0,0.0,0.0,281,0.28279360489985617,1.0092508389680872,1,0,0,0,2,2,1,1
689.0,17.0,male,Pink,PinkGreen,novel,deep,13.0,,,,,,7.0,7.0,5.0,6.0,2409,286,103.49999999999989,592.7694868968679,36.0,0.5550873590425384,11.0,17.0,16.915907498248075,0.4282204189678094,0.0,0.0,0.0,74,0.3856887434498204,1.024151981653349,4,4,3,1,3,1,1,1
690.0,49.0,female,Green,GreenPink,novel,deep,19.0,8.0,4.0,1.0,6.0,19.0,6.0,7.0,6.0,7.0,2921,603,75.19999999999999,441.4084780119782,31.0,0.5218507182826512,13.0,17.0,17.754952311078505,0.3750911100175874,0.0007342143906020558,0.0,0.0,138,0.24156646973191379,1.0065358769945671,0,0,0,0,1,1,1,1
691.0,14.0,male,Green,GreenGreen,familiar,deep,13.0,,,,,,4.0,5.0,4.0,6.0,2795,330,363.70000000000005,595.7643763538201,37.0,0.5791505892307706,15.0,22.0,10.698557327258921,0.31852072815813137,0.0,0.0,0.0,184,0.6876771456111183,1.052720489192909,4,4,4,0,14,14,8,6
693.0,9.0,female,Green,GreenPink,novel,deep,11.0,,,,,,8.0,8.0,8.0,8.0,2607,679,63.199999999999996,395.7774331553127,24.0,0.4806624046038228,11.0,18.0,18.44452608376194,0.36790864038178867,0.0,0.0,0.0,140,0.45147565726841393,1.0305481331090962,1,1,1,0,0,0,0,0
695.0,36.0,male,Green,GreenGreen,familiar,deep,15.0,,,,,,8.0,7.0,9.0,8.0,2938,605,134.8,434.2083004298331,28.0,0.5152116562899182,8.0,12.0,21.39396628216504,0.34943397111196256,0.0,0.0,0.0,374,0.7479517909705417,1.0701124469342806,2,1,1,1,7,5,3,2
696.0,64.0,male,Pink,PinkPink,familiar,deep,10.0,2.0,2.0,4.0,2.0,10.0,2.0,8.0,1.0,6.0,2640,992,29.199999999999957,158.25118419775885,13.0,0.38110246372223455,4.0,4.0,0.10910518053375197,0.5325843753907452,0.0054988216810683424,0.0,0.0,227,0.2592615117852124,1.009409896351165,0,0,0,0,2,2,1,1
697.0,41.0,female,Green,GreenPink,novel,deep,10.0,1.0,2.0,3.0,4.0,10.0,9.0,8.0,8.0,8.0,4534,437,32677.800000000003,574.1417610882572,49.0,0.5334945889875767,10.0,10.0,4.970128022759602,0.5659944894227902,0.030604982206405694,0.0035587188612099642,0.0007117437722419929,95,0.25259884056225973,1.0187020941836558,1,1,0,0,2,2,2,2
